Existing URL,Prepared destination,Status
https://www.itsco.health,https://www.itsco.health/,Preserved route
https://www.itsco.health/about,https://www.itsco.health/about,Preserved route
https://www.itsco.health/about-4,,Content or specific replacement needed
https://www.itsco.health/about-4-1,,Content or specific replacement needed
https://www.itsco.health/all-careers,https://www.itsco.health/careers,Redirect prepared
https://www.itsco.health/blog,,Content or specific replacement needed
https://www.itsco.health/clinicians/aneta-czepiel,,Provider match needed
https://www.itsco.health/clinicians/aunya-albinana,,Provider match needed
https://www.itsco.health/clinicians/bobby-klaer-ma-mft,,Provider match needed
https://www.itsco.health/clinicians/brittany-suvari--ms%2C-lpc,,Provider match needed
https://www.itsco.health/clinicians/caitlyn-sears-ma%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/chase-blackwood,,Provider match needed
https://www.itsco.health/clinicians/cristina-campos-krumholz-m.-ed.%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/danica-alter,,Provider match needed
https://www.itsco.health/clinicians/dayana-fyulep--m.ed%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/destiny-roberts,,Provider match needed
https://www.itsco.health/clinicians/eden-olsen-edwards-msw,,Provider match needed
https://www.itsco.health/clinicians/elizabeth-rosas--ma-mft,,Provider match needed
https://www.itsco.health/clinicians/emma-boese,,Provider match needed
https://www.itsco.health/clinicians/emmi-regenbogen,,Provider match needed
https://www.itsco.health/clinicians/erica-hiebert--ma%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/gini-williamson--ms%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/giovanny-franco-diaz---ma-lpcc,,Provider match needed
https://www.itsco.health/clinicians/glendy-gonzalez-msw%2C-swc,,Provider match needed
https://www.itsco.health/clinicians/grace-terrones,,Provider match needed
https://www.itsco.health/clinicians/haley-colchin--msw%2C-lsw,,Provider match needed
https://www.itsco.health/clinicians/halle-brimm-ma%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/jacquelyne-fernandez,,Provider match needed
https://www.itsco.health/clinicians/jade-littrell,,Provider match needed
https://www.itsco.health/clinicians/jeannie-frisbie,,Provider match needed
https://www.itsco.health/clinicians/jessica-archuleta-trujillo-ma%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/kate-kastens-moylan,,Provider match needed
https://www.itsco.health/clinicians/lily-finch,,Provider match needed
https://www.itsco.health/clinicians/lindsey-byers-m.ed.%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/maria-quartullo-,,Provider match needed
https://www.itsco.health/clinicians/mariela-duran,,Provider match needed
https://www.itsco.health/clinicians/megan-geil-crader,,Provider match needed
https://www.itsco.health/clinicians/mia-lim,,Provider match needed
https://www.itsco.health/clinicians/michael-mendez--ma-lpc,,Provider match needed
https://www.itsco.health/clinicians/nicole-porter,,Provider match needed
https://www.itsco.health/clinicians/oneisha-peres,,Provider match needed
https://www.itsco.health/clinicians/pauline-boyd--msw%2C-lcsw,,Provider match needed
https://www.itsco.health/clinicians/rachel-finch--ma-ncc%2Flpc,,Provider match needed
https://www.itsco.health/clinicians/randy-menegatti-ma%2C-lpsc%2C-lpc,,Provider match needed
https://www.itsco.health/clinicians/tatainya-hughes--m.a.%2C-lpcc,,Provider match needed
https://www.itsco.health/clinicians/tracy-reyes-msw,,Provider match needed
https://www.itsco.health/contact,https://www.itsco.health/contact,Preserved route
https://www.itsco.health/crisis,,Content or specific replacement needed
https://www.itsco.health/faqs,,Content or specific replacement needed
https://www.itsco.health/general-6,,Content or specific replacement needed
https://www.itsco.health/inofficetherapy,https://www.itsco.health/services,Redirect prepared
https://www.itsco.health/intake,https://www.itsco.health/join/itsco/counseling,Redirect prepared
https://www.itsco.health/jobs,https://www.itsco.health/careers,Redirect prepared
https://www.itsco.health/jobs/mental-health-counselor,,Content or specific replacement needed
https://www.itsco.health/notice-of-privacy-practices,,Content or specific replacement needed
https://www.itsco.health/post/5-signs-your-child-might-be-struggling-in-school,,Content or specific replacement needed
https://www.itsco.health/post/how-families-benefit-when-schools-offer-counseling,,Content or specific replacement needed
https://www.itsco.health/post/why-mental-health-support-in-schools-matters,,Content or specific replacement needed
https://www.itsco.health/privacy-policy,https://www.itsco.health/itsco/privacypolicy,Redirect prepared
https://www.itsco.health/providers,https://www.itsco.health/providers,Preserved route
https://www.itsco.health/schools-we-are-in,https://www.itsco.health/schools,Redirect prepared
https://www.itsco.health/skillbuilders,,Content or specific replacement needed
https://www.itsco.health/skills,,Content or specific replacement needed
https://www.itsco.health/team,https://www.itsco.health/team,Preserved route
